@relation bank-additional-train-m-weka.filters.unsupervised.instance.RemovePercentage-P60.698-V

@attribute age {'\'(29.666667-41.333333]\'','\'(-inf-29.666667]\'','\'(53-64.666667]\'','\'(41.333333-53]\'','\'(76.333333-inf)\'','\'(64.666667-76.333333]\''}
@attribute job=retired numeric
@attribute contact {cellular,telephone}
@attribute month {jun,may,jul,sep,aug,apr,nov,oct,mar,dec}
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {nonexistent,failure,success}
@attribute emp.var.rate numeric
@attribute cons.price.idx numeric
@attribute cons.conf.idx numeric
@attribute euribor3m numeric
@attribute nr.employed numeric
@attribute duration numeric
@attribute y {yes,no}

@data
'\'(29.666667-41.333333]\'',0,cellular,jun,0.201007,-0.351313,nonexistent,-1.909631,-1.064478,-0.06549,-1.362118,-1.225523,0.049684,yes
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.711612,0.332822,0.321164,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.714496,0.332822,0.040351,no
'\'(53-64.666667]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.77218,0.836434,0.019489,no
'\'(29.666667-41.333333]\'',0,telephone,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.773334,0.836434,0.037057,no
'\'(41.333333-53]\'',0,cellular,may,0.201007,1.494426,failure,-1.205908,-1.185304,-1.240788,-1.32347,-0.914668,0.043096,no
'\'(29.666667-41.333333]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.339621,-0.914668,0.040077,no
'\'(-inf-29.666667]\'',0,cellular,sep,0.201007,1.494426,failure,-0.758084,1.068951,0.652748,-1.580739,-2.754004,0.097447,no
'\'(41.333333-53]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.775064,0.836434,0.027175,no
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.04941,no
'\'(-inf-29.666667]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712766,0.332822,0.027724,no
'\'(41.333333-53]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.713919,0.332822,0.033214,no
'\'(29.666667-41.333333]\'',0,telephone,jun,0.201007,-0.351313,nonexistent,0.841287,1.528088,-0.283138,0.771603,0.836434,0.015097,no
'\'(29.666667-41.333333]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.774487,0.836434,0.031293,no
'\'(53-64.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.772757,0.836434,0.101016,no
'\'(-inf-29.666667]\'',0,cellular,jul,0.201007,-0.351313,nonexistent,0.841287,0.583924,-0.479021,0.772757,0.836434,0.028273,no
'\'(53-64.666667]\'',0,cellular,aug,0.201007,-0.351313,nonexistent,0.841287,-0.234236,0.957455,0.775064,0.836434,0.063958,no
'\'(41.333333-53]\'',0,cellular,may,0.201007,-0.351313,nonexistent,-1.205908,-1.185304,-1.240788,-1.339621,-0.914668,0.129289,no
'\'(29.666667-41.333333]\'',0,telephone,may,0.201007,-0.351313,nonexistent,0.649363,0.715106,0.892161,0.712189,0.332822,0.035959,no
